experiment,enzyme_id,regime,n_predictions,mean_cat_rmsd,std_cat_rmsd,mean_plddt_global,std_plddt_global,mean_plddt_cat,std_plddt_cat,mean_structural_variance
1ca2_motif_only,1ca2,motif_only,151,11.394130689837185,13.599555374474138,40.07523973509934,16.947485725604437,38.73269315673289,17.3022840098587,13.161929557019315
1ca2_shell5,1ca2,shell5,200,4.033860083249765,2.5319628420655422,39.589906,7.2286179780457775,45.94936666666666,8.64264202882511,1.8572678088961343
1ca2_shell8,1ca2,shell8,200,2.605290816677432,1.5450032438177328,36.37551265060241,6.811130314609158,39.32135,7.316786876433013,1.3126627204564594
1ppf_motif_only,1ppf,motif_only,132,9.573371353968238,12.2201791638233,38.087961616161614,17.21825428357899,38.19058080808081,15.317476281787526,12.56996944109775
1ppf_shell5,1ppf,shell5,200,10.389822714118974,9.244781271119187,36.311285416666664,7.272965791182859,37.44548333333333,5.386180041885615,7.330723846225887
1ppf_shell8,1ppf,shell8,200,9.138952617777678,2.146216454270985,33.86655070921986,4.487418311971136,36.0157,5.910795455220571,2.141303984464359
